,title,description
309,Mario Party,"['Mario Party [Japanese Import] for Nintendo 64', 'Mario Party is the first of several Mario games planned for this year that are being created by developers outside of Nintendo. In this case, the developer is Hudson, a company best known for the Bomberman series, while the others are HAL Systems, the creator of the Kirby line (which is handling the Mario fighting game, Smash Brothers), and Hot Shots Golf maker Camelot (which is doing Mario Golf). Each of the games\' focus plays to what the developers know best, in this case, Hudson\'s knowledge of good multiplayer game modes gleaned from producing countless incarnations of Bomberman, the seminal party-game series.  <P>How do they do that? By setting up Mario Party as a video game take on a traditional board game. One to four players compete against each other (and computer opponents if there are fewer than four humans present) for coins, stars, and bonus points. Instead of going the route of Monopoly\'s little dog and top hat assortment, Mario Party offers a handful of Mario characters for use as ""game pieces"" such as Mario, Yoshi, Wario, Peach, Donkey Kong, and Luigi. Each of the title\'s boards is based on the series as well (Donkey Kong has a jungle stage, Yoshi an island, and so on), and each differs in prominent ways. Once the characters and board are chosen, you vie for the order you\'ll proceed through the game by stopping a rotating number block, which reappears at the beginning of each turn to decide how many spaces you\'ll move. Plain spaces provide a number of coins, while specially marked spaces will draw you into bonus minigames (explained fully later) or introduce you to friendly or unfriendly nonplayer characters such as Toad, Shy Guy, and Boo. The one you least want to bump into is of course Bowser, who will either steal coins from you outright or engage you in forced minigames where you don\'t gain any coins if you win, and you lose coins if you lose. The main goal is to have the largest total number of stars at the end of a game, which can be bought along the way from Toad or by paying off a Boo to steal one from one of your opponents (this costs more than twice the regular 20-coin amount but is much more fun).  <P>The minigames are the Mario Party features that most take advantage of the title not being set on a flat plate of cardboard. You enter at the end of each round or by landing on marked spaces on the board. The games come in various shapes and sizes and in configurations of every player against the others, two vs. two, or three against one. Of the 50 in all, the most noteworthy examples are probably the Bobsled Run (which is reminiscent of the snow race in Super Mario 64, but with two characters sharing a sled), Face Lift (you try to drag around a mushed face a la Super Mario 64\'s intro), Mario Bandstand (a distant cousin of Parappa the Rapper), Lava Boardin\' (you race down a collapsing platform and jump over obstacles), and Cash Bash (one player is dressed up as Bowser, and the others hit him with hammers and steal his coins). Some are skill based, while many require button mashing or joystick twirling. The winner or winners gain coins, while the losers pay out or just leave with what they came into the game with - nothing more, nothing less. <P>Playing with a group of friends makes this game shine. There are enough random elements at work that enable huge upsets to happen about once every other round (which continues straight up to the end when bonus stars are given out that can nudge second- or third-place players to the forefront), and going after the lead player or teaming up against the computer is superfun - especially when you\'re trying to garner stars for the collective total (get enough and... things happen). On the negative side, some of the minigames aren\'t very fun to play in the multiplayer mode because of control or perspective problems, or because they\'re just plain boring - but that\'s to be expected with the sheer number of games. Meanwhile, the games that are enjoyable to play in multiplayer are nowhere near as good in the single-player mode. Really, it\'s that multiplayer competitive spark of screaming at and/or cheering for your friends that injects life into these often-simple little games, and without it, they\'re just simple little games. The single-player mode seems thrown in the way multiplayer modes seem thrown in most other games. Mario Party is intended to be played with a group of friends, and for those people who can really take advantage of that, this game is a must-buy. The less-social gamer might want to rent. --Joe Fielder <BR>--<i>Copyright &copy;1999 GameSpot Inc. All rights reserved. Reproduction  in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>']"
310,Colony Wars Vengeance,"[""In Colony Wars: Vengeance, the sequel to Psygnosis' award-winning space shooter, Colony Wars, you assume the role of Mertens, an idealistic Navy pilot out to wreak revenge against the merciless League that defeated his people one hundred years earlier, imprisoning them in their home system and dooming them to a century of civil war. Lead by the messianic Kron, Mertens and the rest of the Navy plunge headlong into the heart of League territory, hoping to restore the Navy to its prior greatness... or die trying. But is the charismatic Navy leader all that he seems?"", 'In response to player feedback, Psygnosis packed a number of improvements into Colony Wars: Vengeance. While the number of selectable ships has dropped from seven to five, a brand-new upgrade system now enables you to customize each craft to your liking. Devastating ""sentinel"" superweapons in addition to new air-to-ground combat infuse the game with some sorely needed variety. The game\'s collision detection and physics also have been improved thanks to a powerful new game engine. The one thing that hasn\'t changed, however, is the game\'s nearly impossible level of difficulty; Colony Wars: Vengeance is guaranteed to provide a formidable challenge for even the most battle-tested PlayStation pilots.', 'As in the original, failing a mission does not lead to instantaneous death, as it does in most games of Colony Wars\' ilk; rather, a branching mission tree spins the story in new directions, ultimately leading to one of six unique endings. In all, Colony Wars: Vengeance spans over 40 missions, arranged into 19 different ""acts."" Unlocking the game\'s most desirable ending automatically rewards the player with the entire mission tree, which allows you to dish out some serious payback by replaying any of the previous missions - with the ship of your choice - infusing Colony Wars: Vengeance with an uncommon amount of replay value.', 'The real question, however, is whether or not the average player will possess the patience and persistence to make it that far. Severely unbalanced missions (the fifth Sentinel is a breeze compared with the second) and an almost insane level of difficulty undoubtedly will have many gamers, if not most, flinging their controllers in disgust long before the game\'s halfway point, which really is a pity; a more gradual ""ramping"" of the level of difficulty would have made the game more enjoyable and accessible to casual gamers while allowing them to experience more of the game\'s visual fireworks and story elements. By the time I reached the game\'s supposedly climactic plot twist, I was simply too beaten down to care much about Mertens anymore.', ""As for Colony Wars: Vengeance's cosmetic improvements, I gladly would have traded all of them for a two-player cooperative or head-to-head mode. A cooperative mode, in particular, would have killed two birds with one stone by making the game easier while allowing a friend to join in the fun."", ""Despite its flaws, the game's head-turning graphics, diversity, and uncommonly developed story propel Colony Wars: Vengeance light years ahead of the average space shooter. However, a bit more fine-tuning could have made it truly stellar. --Gary Mollohan <br />--<i>Copyright 1999 GameSpot Inc. All rights reserved. Reproduction  in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>""]"
311,Star Fox 64 (without Rumble Pak),"['vintage very good condition- 100% of proceeds provides free clothing and toys to foster children through Foster Care Support Foundation', ""It is a shame that Nintendo can't clone Miyamoto, the genius behind the Mario and Zelda games. He is easily Nintendo's greatest asset, and one of the most brilliant storytellers ever to work in the interactive medium. His latest effort, Star Fox 64, is a game designed in his tradition of greatness, and it's perhaps the best N64 game seen since Super Mario 64 - which is still considered by many as the best video game of all time."", ""Star Fox 64, the sequel to the Super Nintendo title Star Fox, is a shooter in the truest sense. As happens in Star Fox's predecessors, you fly along and blast away your enemies while powering up your weapons. But Star Fox 64 adds quality gameplay twists that rival the game's incredible 3D graphics. These features include multiple gameplay paths (which take you through various levels depending on how well you play, including a Tomorrow Land-like city, a meteor-filled corner of space, and a post-apocalyptic battleground), a submarine and a tank level, a four-player battle mode, and the smoothest 3D flight control yet seen on a console system. Not only is the animation incredibly smooth, but every polygonal building and ship is finely detailed. The enemies are also quite varied - in fact, the final boss, Andross, even qualifies as menacingly scary (there's something terrifying about a huge ape that literally chews you up and spits you out). This game is a pleasure to look at and does the Star Wars-like storyline justice with a truly cinematic quality."", ""At any given time you have a variety of enemies to blast, and the game alternates between on-rails levels (where you are constantly moving forward on a track with 3D movement), and slightly more open levels where you can explore a limited area. While the game may be difficult to play at first, it includes a training mode to master the somersaults, U-turns, and power-ups. Once you get the hang of it, the game becomes a fast-paced thrill ride through multiple levels of interplanetary warfare. And unlike any game before it, Star Fox 64 uses force feedback, courtesy of Nintendo's latest peripheral, the Rumble Pak. Simply, you actually feel each shot you take and obstacle you bump into."", 'The plot of Star Fox 64 pits Fox McCloud against the evil Andross and his crew of monkey people set to destroy the galaxy. As Fox McCloud you must lead the battle against his minions. Your wingmen Slippy (a frog), Falco (a falcon), and Peppy (a rabbit) accompany you on missions and offer advice on each level - they can also help you out in a jam, but you should expect to come to their rescue more often than not. The interaction between the four main characters makes for some of the most entertaining voice-overs yet heard in a video game and proves that the N64 doesn\'t need a CD drive to offer a vast array of speech. In fact, a third of the game\'s cartridge is used for the memorable chatter, which includes such lines as ""Let\'s show those monkey people who\'s boss,"" and ""Oh noooo!"" which is shrieked by Slippy, who\'s gender is, sadly, never revealed.', 'Star Fox 64 is the kind of game you will spend many sleepless nights with - even after you finish. The replay value will bring you back again and again. N64 owners who have been waiting to embark on their next great gaming adventure should run out immediately and buy Star Fox 64 - the graphics, sound, and gameplay all combine to create an instant N64 classic. --Glenn Rubenstein <br />--<i>Copyright 1999 GameSpot Inc. All rights reserved. Reproduction in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>']"
312,A Bug's Life PS,"[""Based on the animated film, A Bug's Life is an epic game of miniature proportions. The story follows the exciting adventures of a misfit ant named Flik as he tries to save his colony from a greedy gang of grasshoppers led by Hopper. As Flik, you travel through fully interactive 3D environments brought to life with cinematic quality animation, smooth controls, and challenging puzzles. Get ready for a bug's-eye-view in an incredible and fast-paced adventure.(http://www.gamefaqs.com/ps/196524-disney-pixar-a-bugs-life)"", ""Based on Pixar/Disney s new film of the same name A Bug's Life is a 3D platform adventure game that enables gamers to take the role of Flik an ant. The game is staged in various outdoor environments and Flik's goal is to gather seeds find the entrance to his ant hill and ultimately defeat the evil gang of crazy-looking bugs including nasty grasshoppers and Thud the Horsefly.""]"
313,Monkey Hero,"['With an eye for excitement and a nose for nonsense Monkey Hero is one funky monkey. Join monkey as he explores massive dungeons and battles legions of baddies in a crusade to restore peace among the three worlds.', 'Sometimes even the best intentions go to waste, and Monkey Hero is an unfortunate testament to this. Intended as a Japanese-style action/RPG in the old-school vein of Zelda, Monkey Hero is just about as ill conceived and poorly done as one can imagine, and it\'s only made more lamentable by its purported homage to the classics. <P>Loosely based on Chinese lore, Monkey Hero follows the mythic exploits of one ""Monkey"" and his quest to return balance to the dream world, waking world and nightmare world and defeat the uniform-clad Nightmare King. To do so, Monkey must travel across the world to retrieve the eight chapters of a magic story book. Monkey Hero\'s gameplay is, unfortunately, below the generic level of the game\'s story. Inspired by the Zelda series and games of its ilk, Monkey Hero takes a broad stab at the action/adventure genre and provides Monkey with all the requisite tools, heart-container-equivalents and the like to complete his quest. Complete with a bird\'s-eye view of the ""action,"" Monkey hero is Blam!\'s attempt to implement every classically tested variable of the action/adventure formula. <P>However, that formula has yet to produce so painful a game. Monkey Hero\'s gameplay is often bad, occasionally mediocre, and thoroughly boring throughout. To start, one could make a case that the game\'s world is too big. This is a problem only because the game makes very little attempt to provide you with direction; often you are left to wander around, either looking for the next item or the next obstacle to remove. There has to be a better way than this to move away from the traditional linearity of the action/adventure genre. There\'s nothing like getting a new item and looking for one place to use it, only to find five, most of which are dead ends. Monkey Hero is a fairly long game, and it\'s full of these design inadequacies. Should you manage to progress, you\'ll find the game\'s dungeons to be lacking. Between the bland layout and the sparse, uninventive use of puzzles, Monkey Hero\'s dungeons are more exercises in tedium than actual gameplay. Some of the bosses are worthwhile, but they are short-lived, and seem like token reasons to use the game\'s myriad items instead of actual challenges. Additionally, control and collision issues seem to plague the game, adding additional frustration to the poor design. <P>Alas, Monkey Hero\'s problems don\'t end there. Aesthetically, the game is a mess: It looks like a shareware throwback to the first generation of PlayStation games. The game\'s tile-heavy graphics are reminiscent of Interplay\'s abysmal Loaded, unfortunately borrowing that game\'s lighting extremes, as well. Areas are often inexplicably dark, but often have near-invisible enemies lurking in them, generally resulting in cheap hits. The game\'s terrain is flat and uninteresting, and all the art is decidedly blocky. Monkey Hero anachronistically relies on sprites for enemies, and they\'re not pretty, either. In addition to being small and of basic geometry, their animation is unforgivably poor, rarely more than a few frames. Despite the game\'s extremely basic 3D graphics, the frame rate is decidedly poor on the whole, slowing down at the most inopportune and inexplicable times. <P>Coupled with the poor animation is an extremely poor use of sound. When you use the hammer item, there\'s no earth-shaking thud to accompany the animation. Additionally, most of the game\'s music is repetitive and used in far too many instances, not to mention that it doesn\'t really carry the game\'s professed Asian overtones. <P>However it happened, Blam!\'s pure intentions went chaotically awry, resulting in one of the worst PlayStation games in recent memory. Blam! knows the classics - here\'s hoping they can mimic them a lot better next time. --Peter Bartholow <BR>--<i>Copyright &copy;1999 GameSpot Inc. All rights reserved. Reproduction  in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>']"
314,Snowboard Kids 2,"['Cartridge only with minor wear.', 'The kids are back, and Snow Town\'s under siege by some bratty little punk named Damien. Arriving surprisingly fast after the debut of the original game, Snowboard Kids 2 brings back the same style of simple snowboarding action with a whole host of options to make your gaming experience as complete as can be. For anyone new to Atlus\' funky little racing game, Snowboard Kids 2 offers a touch of Cool Boarders, with a dash of Wipeout thrown in for good measure. You pick one character out of a posse of ten-year-olds. The characters range from the ""naughty"" Slash Kamei, to the mega-genius Wendy Lane. The characters have different attributes, which give them distinct advantages, depending on which course you\'re playing: speed, shooting, or tricks. Adding to the flexibility of the game are the different boards, which cover speed, balance, and tricks.', ""Gameplay consists of the usual zooming-down-the-course action, with a few twists to keep the action fresh. Among the variety of slopes and courses available (Sunny Mountain, Turtle Island, Jingle Town, Wendy's House, Linda's Castle, and Crazy Jungle) are numerous obstacles and varying course elements, like waterfalls and steep cliff drops. If those weren't enough, there are also offensive and defensive weapons available (hence, the Wipeout comparison). There are a bunch of great weapons that can quickly change the outcome of the game. The slap stick, for example, will smack your opponents to the ground and take some of their money while it's at it. The parachute attack will lift your targets high into the air and drop them slowly to the ground, giving you plenty of time to overtake them. Other weapons, like the snowman, whirlwind, freeze shot, and super ghost can also cause much consternation for your opponents. Of course, to counter players who may be drawing a bead on you are items like the speed fan, rocket booster, rock, and rat face. Each of these has different effects that can save your place in the race, if need be. While the steering and feel of the game could be a little smoother, once you get used to the semi-wooden controls, things go much easier."", ""After you select story or action mode, you will eventually run into a couple of boss encounters that will test just how much you've learned in the preceding races. You will run into a snowman-robot stage and a dinosaur stage that will test just how good your snowboarding skills are. During each race, you'll head into Snow Town where you can do a little shopping and board customizing. As you earn more money, the quality of board you can buy will improve as well. You can also go into the paint shop and select a new paint job for your snowboard. Other places you can go include Wendy's Internet cafe, where you'll get secret information on courses and other factors in the game. You can also change your character at the school, save at the phone booth, and play a number of different games at the penguin house, clock tower, and Snowboard Times office. Simply put, there's plenty to do in Snowboard Kids 2, and it'll take you a while to unlock all the game's secrets."", ""While it plays a little stiffly, the game still looks nice, with colorful graphics, very little polygon draw-in, and upbeat musical tracks. Peppered with lots of cute little cutscenes, Snowboard Kids 2 offers plenty of replay value and is one of the best racing games out there for a younger audience. Yes, a younger audience. Aimed squarely at the young 'uns, Snowboard Kids 2 is probably one of the best games you could get for a younger gamer. Older vets might find the game tedious, although it would take a real cynic to deny the effort involved in making this game. With the four-player mode offering decent multiplayer options, albeit at a much slower framerate, SK2 might be the best party-racing alternative to Mario Kart 64. Much less contrived than Diddy Kong Racing, Snowboard Kids 2 comes highly recommended for the younger crowd. Experienced gamers might want to rent it before spilling the greenbacks for this cute game. --James Mielke <br />--<i>Copyright 1999 GameSpot Inc. All rights reserved. Reproduction  in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>""]"
315,WCW Nitro,"['Step into the ring as one of your favorite WCW or NWO superstars! You can choose to battle it out in tag team action or take on the oppostion by yourself. Many of your favorites are here featuring the likes of Hollywood Hogan Lex Luger and many more. Each wrestler has many devastating moves to choose from including unique special moves for each wrestler.', ""Until now, all the WCW-licensed games on the N64 have been based on a Japanese engine used by Asmik in a couple of overseas wrestling games. These games have been tolerable from a gameplay standpoint, but none of them ever really captured the look or feel of actual WCW wrestling. Meanwhile, PlayStation owners have been getting WCW games that look a bit more like the real thing, but the gameplay has been atrociously bad. Now, N64 owners can experience the weak gameplay of the PlayStation WCW games mixed with a bit of the real look and feel of the PlayStation games, though the inadequate storage space of the N64 cartridge keeps some of the atmosphere out of the game. <P>This is essentially a slightly updated version of the WCW Nitro that appeared on the PlayStation. The gameplay remains the same, but the roster has been updated, and wrestlers like Bill Goldberg have been added to the lineup. Gone from the original are the short taunt videos, which, by the way, were the best thing about the PlayStation version of the game. Also gone from the original are the poorly pixelated character graphics. Here, the wrestler models are very sharp, though the skin textures look quite bad. The crowd also looks really, really terrible. The game moves a lot quicker than the PlayStation version, but this gives the game a really strange look - it seems as though the motion-captured animation is simply running too fast. <P>For those unfamiliar with the original version of the game, Nitro eschews the tie-up system of gameplay used by previous WCW games, as well as WWF Warzone, for a different, move-based style. Instead of tying up and pounding buttons to pull off moves, you execute the moves via a series of button presses. When this game came out for the PlayStation, it was nice to see someone trying something new in wrestling games, even if it wasn't too spectacular. But now that THQ has milked this style of gameplay for three games, it's way past its prime. <P>Gameplay modes include the standard championship, which pits you against ten different opponents, one at a time. Win and you're the champion. Lose and you'll get to continue. There's also a tag-team mode and a battle royal, which forces you to toss your opponents over the top rope to eliminate them. <P>WCW Nitro is just a rehash of the PlayStation version, only it's about a year too late. It may have worked as a simultaneous release, but now the game is just plain bad. Even roster updates can't save it from its horrible gameplay and shoddy appearance. Let's hope EA can put out a decent WCW-licensed wrestling game when it takes over the license later this year. --Jeff Gerstmann <BR>--<i>Copyright &copy;1999 GameSpot Inc. All rights reserved. Reproduction  in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>""]"
316,Destrega,"['original case no manual', 'Unlike any other fighting game on the market today Destrega allows fighters to move freely within its 3D environments thus allowing for both close and long range fighting. The usual physical attacks are accompanied by a multitude of sensational long-range magical attacks and contribute to a very fast-paced action/fighting title.']"
317,Mission Impossible,"['Cartridge and hard plastic collector case with reprint of original case artwork - NO MANUAL - Front label is fully in tact. Game cartridge is in good condition but may show normal signs of age such as minor scratches, discoloration, or debris in creases. All games are tested before being put into our inventory.', ""As IMF super secret agent Ethan Hunt you must endeavor to survive six harrowing adventures against the likes of the world's worst enemies. Take comfort though you'll have all of the standard secret agent weaponry.""]"
318,Alien Trilogy,"[""The complete Alien Trilogy in one black-death white knuckle nightmare. They're back!!! Face huggers chest bursters dog aliens adult aliens ruthless corporate shills and locate and eliminate the queen!!"", '', '']"
319,Destruction Derby 2,"[""Destruction Derby is one heck of a confused game. It's probably the only racing game that awards points for smashing into the opposition, even though the more your car makes contact with others, the more likely it is to blow up, thus ending the game. Perhaps because of this irony Destruction Derby, now in its second installment, continues to be one of the Playstation's most exciting racing titles. <P>The basics of Destruction Derby 2 are almost identical to the original. You will still find three modes of play (Wreckin' Racing, Stock Car Racing, and Destruction Derby), three cars to choose from, and a host of different tracks (seven raceways, four Destruction Derby enclosed arenas). What's new in DD2 is the size and speed of the courses. The winding, narrow, claustrophobic roadways of the first Destruction Derby have been replaced with huge, wide superspeedways worthy of games like NASCAR Racing and The Need for Speed. Each track offers its own set of characteristics and physics, with whipping turns, monstrous jumps, and high banks. All are infinitely superior to the tight, slow courses of the original. <P>But don't think for a minute that the game is easy just because the tracks are more conducive to high-speed racing. The sense of speed in DD2 is terrific, though not quite the 250 mph the speedometer claims. Regardless of which car you select, the asphalt in DD2 seems to be covered with glare ice - which means your car will be slippin' and slidin' from the get-go, rocketing the unwary straight to the back of the field. But keeping your car on the track is only half the battle. <P>This wouldn't be Destruction Derby without spectacular vehicular calamities galore - accidents that by far outclass those found in the first version of this game. Cars flip, roll, smoke, and splinter into metallic shards, leaving dangerous bits of shrapnel that in turn lead to some of the best multicar wrecks in gaming. Pit stops have been added for damage repair. Like the original, DD2 boasts some fabulous, photorealistic graphics for a spectacular view (though you'd be a fool to take your eyes off the road!). On the downside, the number of camera views has been reduced to two: in-car and low chase. A high chase view is sadly missing. <P>All things considered, Destruction Derby 2 would be more fun if it were a bit easier to play. Even so, it blows the doors off the original. --Jeff Kitts <BR>--<i>Copyright &copy;1999 GameSpot Inc. All rights reserved. Reproduction  in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>""]"
320,Knockout Kings,"[""Pulse-pounding excitement in the first great boxing game for PlayStation. And only the experts at EA Sports could bring it to you! Knockout Kings features 38 of history's greatest fighters including Sugar Ray Leonard Evander Holyfield even the Greatest Muhammed Ali! How would Ali fare against Evander? Find out! With refereeing by Mills Lane there'll be no ear-biting either! It's just like a real boxing match --except no pay-per-view charges!"", 'Knockout Kings is not only the first boxing game released here in the States for the PlayStation, but is also the most accurate representation of the sport of boxing in a video game to date, though it still has plenty of room for improvement. One area that doesn\'t need any improvement is its authenticity. The game has 38 boxers from the light, middle, and heavyweight divisions from the past and present including Evander Holyfield, Ike Quartey, Lennox Lewis, Michael Moore, Shane Mosley, Oscar De La Hoya, ""Sugar"" Ray Leonard, and Muhammad Ali. For even further authenticity the designers have included real-life venues to fight at like Caesar\'s Palace and Madison Square Garden. <P>You can select from three modes of play. Exhibition allows you to pick your favorite fighters and go at it. Slugfest, which is an arcade-style mode, allows you to pick any two fighters from any weight division and slug it out in a match with exaggerated knockdowns and punches. The career mode lets you create your own boxer from scratch and try to take him from the bottom of the ranks to the top for a shot at the title. In this mode you have 30 generic fighters that you must face. Before each fight you can select what type of training you would like to do. You can select between working the heavy bag, which improves your power, or hitting the speed bag, which helps your speed. Unfortunately, this is merely something to watch for a minute.  <P>Visually, Knockout Kings is simple but effective. The fighters are made up of 3D polygons, but they don\'t look like the typical boxy polygonal characters we see in most games. Instead, the fighters have smooth, realistic-looking bodies, with shoulder and elbow joints that work accurately. The animations of the punches, knockdowns, taunts, and general ring movement also look great. Also, most of the fighters look like their real-life counterparts, not only in facial features but also in body size and motion. The only negative aspect of the graphics is the crowd, which is basically just a still picture. Although the sound of a roaring audience almost makes that still image come to life.  <P>All of the sound effects are fairly accurate. The punches, referee, and fighters\' grunts are all pretty good. But what makes Knockout Kings sound so real are the real voices of Al Albert and Sean O\'Grady of Tuesday Night Fights fame, who provide commentary during the matches, though their vocabulary is unfortunately a bit on the limited side, as they pretty much just stick to saying ""nice (insert name of punch here)"" again and again. Knockout Kings also has the voice talents of ring announcer Jimmy Lennon Jr. and referee Mills Lane as a nice touch for big fights. When you\'re climbing the ranks you have generic refs and ring announcers that work the matches. <P>On the control side of things the game feels a bit sticky because you have to get used to the amount of time that it takes for the animations of different punches. But once you get the hang of how the fighters move around the ring, it\'s not a problem. However, the game only has three control configurations. And the simulation control setup isn\'t what I would consider an ideal setup. The D-pad handles ring movement, you have a left jab button, right cross button, body blow button, and an uppercut button. You can pull off little preset combos, power hooks, and low blows by holding a shoulder button while pressing another button. You can even head-butt your opponent (no, there\'s no ear biting). When defending, you can block high and low, bob and weave, duck, clinch, and shove your opponent away. All of these moves are executed by hitting various button and D-pad combinations. While the preset button configurations get the job done, it would have been better if you could assign specific punches to the button of your choice. The AI of the computer boxers is fairly decent. As in real life, there are two main types: boxers and punchers. Toward the top of the ranks the opposition gets a little tougher, since each opponent seems to be able to hurt you with just about any punch and is nearly impervious to damage. <P>Overall, Knockout Kings is the best representation of the sport of boxing in a game so far. Although it is missing some of the little nuances of real boxing.  It\'s easier for a die-hard boxing fanatic to see all of the little things it could have done a touch better; like parrying, working the angles, and punching power balance. The casual boxing fan probably won\'t notice and will think that it\'s the best boxing game of all time. Which is true, though it\'s still missing a few things that keep it from being the perfect boxing sim. Any boxing fan will love Knockout Kings, and being one myself, I just hope that Electronic Arts continues the series and keeps making it better. --Ryan Mac Donald <BR>--<i>Copyright &copy;1999 GameSpot Inc. All rights reserved. Reproduction  in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>']"
321,Body Harvest,"['Cartridge and hard plastic collector case with reprint of original case artwork - NO MANUAL - Front label is fully in tact. Game cartridge is in good condition but may show normal signs of age such as minor scratches, discoloration, or debris in creases. All games are tested before being put into our inventory.', ""Playing DMA Design's Body Harvest is like taking the lead role in a BBC sci-fi TV series. The visuals may not be revolutionary, and the story may be a bit cheesy, but there's something unmistakably charming about the whole thing. <P>Anyway, analogy aside, you're a super-soldier who's traveled back in time to put down the initial invading forces of an alien race that's ravaged your era's earth. This plays out into a game that's not easy to describe, save for the fact that it has a few graphical and gameplay similarities to Rare's Blast Corps. You move about a variety of terrain piloting your little soldier man or sitting behind the controls of cars, tanks, planes, boats, and the like. Crucial points of gameplay are reached when a harvesting force of aliens takes on a nearby town. You then have to locate and destroy them before they gobble up six humans, which would produce a nigh-invulnerable mutant alien (that's a very bad thing). Encounters with smaller forces are frequent and pepper the parts of the game where you have to solve minor puzzles in order to move along. <P>From within the gameplay, Body Harvest is not much like anything else, actually. It's a slower-paced title, but not to the point of being boring. Its originality is refreshing (being able to flip from walking to manning a tank to flying a plane is pretty nice). The graphics are pretty bland at times, as one might expect from a much-delayed first-generation N64 game, and the lack of a look function dates it, but neither of these elements really gets in the way. The soundtrack, while limited and too often repeated, is atmospheric in an X-Files theme song sort of way. <P>Where some elements of the game teeter on the edge of slightly above average, pushing well above the median there's a good chunk of value to Body Harvest, as each stage is pretty big and requires a lot of work to beat. On the downside of that upside, the game only allows you to save once a major task is accomplished. This means that you may have played a certain section for an hour, made a wrong turn, ended up in a lake, drowned, and had to restart the stage. Or it might so happen that you play for an hour, get thrashed by a boss character, and have to start over again. And so on. Consider yourself warned: This sort of scenario can happen frequently (a happenstance that robbed the score of at least a point for the reviewer's tilt). <P>For gamers looking for something almost completely unique or even just a big, dumb game to fill the void before Zelda comes out, Body Harvest fits the bill nicely.  --Joe Fielder <BR>--<i>Copyright &copy;1999 GameSpot Inc. All rights reserved. Reproduction  in whole or in part in any form or medium without express written permission of GameSpot is prohibited. GameSpot and the GameSpot logo are trademarks of GameSpot Inc.</i> -- <i>GameSpot Review</i>""]"
